clause_id,record_id,clause_text,evidence_start,evidence_end,is_policy_action,instrument_labels,direction,D1,D2,D3,D4,D5,D6,D7,annotator_id,annotation_status
CLAUSE_3d8fa022f60817cdd283996e,POL_42ED33AB91F1401DC1CD,房地产开发贷款对象应该是具备房地产开发资质、信用等级较高、没有拖欠工程款的房地产开发企业。,0,45,,,,,,,,,,,,unlabeled
CLAUSE_03d3b31ca87c365342fb030b,POL_42ED33AB91F1401DC1CD,"贷款应重点支持符合中低收入家庭购买能力的住宅项目,对大户型、大面积、高档商品房、别墅等项目应适当限制。",45,96,,,,,,,,,,,,unlabeled
CLAUSE_36c38407543bb5d589a85eec,POL_42ED33AB91F1401DC1CD,"对商品房空置最大、负债率高的房地产开发企业,要严格审批新增房地产开发贷款并重点监控。",96,138,,,,,,,,,,,,unlabeled
CLAUSE_02963d6f155c0496819c851f,POL_42ED33AB91F1401DC1CD,"商业银行对未取得土地使用权证书、建设用地规划许可证、建设工程规划许可证和施工许可证的项目,不得发放任何形式的贷款。",138,195,,,,,,,,,,,,unlabeled
CLAUSE_d214492725485dec39921016,REC_EA08299016E8DD7FA768,2007年,0,5,,,,,,,,,,,,unlabeled
CLAUSE_daebf1254d0ef77e87803b87,REC_EA08299016E8DD7FA768,"十七大 | (四)加快建立覆盖城乡居民的社会保障体系,保障人民基本生活......健全廉租住房制度,加快解决城市低收入家庭住房困难。",5,71,,,,,,,,,,,,unlabeled
CLAUSE_c70790851f694a4a93be744d,REC_EA08299016E8DD7FA768,...... | http://www.scio.gov.cn/37231/Document/1566887/1566887_10.htm,71,140,,,,,,,,,,,,unlabeled
CLAUSE_b3c8f6d54da9a97b9d661968,POL_3D88007CFB222E30F0C4,我省享受优惠政策的普通住房标准应同时满足以下条件:住宅小区建筑容积率在1.0以上、单套住房套内建筑面积120平方米以下或单套住房建筑面积144平方米以下、实际成交价格低于同级别土地上住房平均交易价格的1.44倍以下。,0,108,,,,,,,,,,,,unlabeled
CLAUSE_21dd98c241be9922498bb238,POL_3D88007CFB222E30F0C4,"我省普通住房标准以此为准,各地级以上市及所辖区、县(市)应统一执行。",108,142,,,,,,,,,,,,unlabeled
CLAUSE_16b1ef238fd8f35cebb75250,POL_2F24C26097552297C7CA,"严格房地产开发贷款管理,对项目资本金(所有者权益)比例达不到35%或未取得土地使用权证书、建设用地规划许可证、建设工程规划许可证和施工许可证的项目,商业银行不得发放任何形式的贷款。",0,90,,,,,,,,,,,,unlabeled
CLAUSE_2db406345a9b4d2a230f6637,POL_2F24C26097552297C7CA,"对经国土资源部门、建设主管部门查实具有囤积土地、囤积房源行为的房地产开发企业,商业银行不得对其发放贷款;",90,142,,,,,,,,,,,,unlabeled
CLAUSE_16bb0916ef27976302ed2820,POL_2F24C26097552297C7CA,"对空置3年以上的商品房,商业银行不得接受其作为贷款的抵押物。",142,172,,,,,,,,,,,,unlabeled
CLAUSE_a4034b6094b4973cd3200ade,POL_2F24C26097552297C7CA,"商业银行对房地产开发企业发放的贷款只能通过房地产开发贷款科目发放,严禁以房地产开发流动资金贷款或其他贷款科目发放。",172,229,,,,,,,,,,,,unlabeled
CLAUSE_58ded42e1afc5378cca9a93b,POL_2F24C26097552297C7CA,"商业银行发放的房地产开发贷款原则上只能用于本地区的房地产开发项目,不得跨地区使用。",229,270,,,,,,,,,,,,unlabeled
CLAUSE_3a10324151556ec0d56ad88c,POL_2F24C26097552297C7CA,"对确需用于异地房地产开发项目并已落实相应风险控制措施的贷款,商业银行在贷款发放前应向监管部门报备。",270,319,,,,,,,,,,,,unlabeled
CLAUSE_f62849161a9ba0518ebb4411,POL_2F24C26097552297C7CA,商业银行不得向房地产开发企业发放专门用于缴交土地出让金的贷款。,319,350,,,,,,,,,,,,unlabeled
CLAUSE_2261fade3ded124a5f1eae82,POL_2F24C26097552297C7CA,"对政府土地储备机构的贷款应以抵押贷款方式发放,且贷款额度不得超过所收购土地评估价值的70%,贷款期限最长不得超过2年。",350,409,,,,,,,,,,,,unlabeled
CLAUSE_7bbb9eb99311d1e9acad010d,POL_2DEA6B6B93982DE9FED2,"本办法所称借款人是指具有法人资格,并取得房地产开发资质的房地产开发企业。",0,36,,,,,,,,,,,,unlabeled
CLAUSE_55f593d55934699446f07c8e,POL_2DEA6B6B93982DE9FED2,"各政策性银行未经批准,不得从事经济适用住房开发贷款业务。",36,64,,,,,,,,,,,,unlabeled
CLAUSE_966bbd4293940f8961a7096c,POL_2DEA6B6B93982DE9FED2,"第四条,经济适用住房开发贷款条件:(一)借款人已取得贷款证(卡)并在贷款银行开立基本存款账户或一般存款账户。",64,118,,,,,,,,,,,,unlabeled
CLAUSE_601fa4fb096e215639afb154,POL_2DEA6B6B93982DE9FED2,"(二)借款人产权清晰,法人治理结构健全,经营管理规范,财务状况良好,核心管理人员素质较高。",118,163,,,,,,,,,,,,unlabeled
CLAUSE_41ec5d5dc241f44cfc8a251e,POL_2DEA6B6B93982DE9FED2,"(三)借款人实收资本不低于人民币1000万元,信用良好,具有按期偿还贷款本息的能力。",163,205,,,,,,,,,,,,unlabeled
CLAUSE_b9e0a6d717df1ac5920f666f,POL_2DEA6B6B93982DE9FED2,"(四)建设项目已列入当地经济适用住房年度建设投资计划和土地供应计划,能够进行实质性开发建设。",205,251,,,,,,,,,,,,unlabeled
